ids,1cm_1,1cm_2,1cm_3,1cm_4,2cm_1,2cm_2,2cm_3,2cm_4,3cm_1,3cm_2,3cm_3,3cm_4,4cm_1,4cm_2,4cm_3,4cm_4,5cm_1,5cm_2,5cm_3,5cm_4
PaChr4g14295-t1_14295,0.782022801,0.795225115,0.804790771,0.800145726,0.826085999,0.855752519,0.844503822,0.836115246,0.856688056,0.863172176,0.863055067,0.845523518,0.794286259,0.792655617,0.793030519,0.787173622,0.831929198,0.845037705,0.824315592,0.859890762
PaChr3g13385-t1_13385,0.737111388,0.759515664,0.754288295,0.756266137,0.728945325,0.753089467,0.750155834,0.755004656,0.743304405,0.741051576,0.738480556,0.719552336,0.750036296,0.748808034,0.744258916,0.747867882,0.735963007,0.734404664,0.709875907,0.739606425
PaChr12g07181-t1_7181,0.722085408,0.743083313,0.740886423,0.742580053,0.715610724,0.741042067,0.738639388,0.739914791,0.745124115,0.742619285,0.739027655,0.720915864,0.750013365,0.748386033,0.743220381,0.74790146,0.734405583,0.734672436,0.709068811,0.73860967
PaChr3g12346-t1_12346,0.719723148,0.741382146,0.737868263,0.740466988,0.712070331,0.736720275,0.734859776,0.738005791,0.740376967,0.738049272,0.73553478,0.716449543,0.749286305,0.747864466,0.74200429,0.746579683,0.73410396,0.734089841,0.708473174,0.737786949
PaChr11g05509-t1_5509,0.73762663,0.758908803,0.752927102,0.759854109,0.730613927,0.755736726,0.751455712,0.755756148,0.751116111,0.753034678,0.74876864,0.730085337,0.753078885,0.752233929,0.746165308,0.750246561,0.736546106,0.739013863,0.712983567,0.743338958
PaChr9g24543-t1_24543,0.721515479,0.743821401,0.738927095,0.742167337,0.713063902,0.737848461,0.73573232,0.738851416,0.740963249,0.739507171,0.736575554,0.717530825,0.750940122,0.74928189,0.744113783,0.749415143,0.734785397,0.734916013,0.709461737,0.739107978
PaChr10g05041-t1_5041,0.721007233,0.741552979,0.739541318,0.742363488,0.71416304,0.739943571,0.736495706,0.73905203,0.743190534,0.743034255,0.740293479,0.720854326,0.75303772,0.752695553,0.747180858,0.754057457,0.740547279,0.734528731,0.710784871,0.737390402
PaChr3g13612-t1_13612,0.727638748,0.747779149,0.745195827,0.749739948,0.718318391,0.741756758,0.740699983,0.745264776,0.743450836,0.743754136,0.738544245,0.720565082,0.764191557,0.754335548,0.748967723,0.754272635,0.743298486,0.742045847,0.719009065,0.750733524
PaCtg0754g29644-t1_29644,0.739693758,0.762096907,0.75992177,0.755385689,0.723839256,0.750548386,0.744122635,0.748710619,0.756250198,0.754870937,0.755559901,0.734918356,0.768667808,0.772098516,0.765938262,0.771739296,0.752290268,0.746089803,0.726069724,0.75779459
PaChr12g07982-t1_7982,0.729793396,0.751153218,0.748538281,0.749160574,0.715844875,0.74143374,0.736984999,0.742081698,0.746682527,0.742314127,0.742214807,0.722487425,0.750358408,0.749287542,0.744387239,0.748074029,0.73393652,0.735700538,0.709217483,0.738487066
PaChr1g00139-t1_139,0.822539162,0.843037457,0.835714683,0.838870065,0.922906048,0.919393187,0.942618745,0.9563516,0.901072298,0.88714093,0.919085106,0.889156702,1.077676644,1.077263274,1.092079609,1.115839208,1.022921403,0.980641152,0.990500542,1.006662529
PaChr5g16828-t1_16828,0.728796125,0.75214545,0.745151485,0.748705167,0.726754695,0.74911072,0.749931824,0.752908386,0.742181121,0.740832721,0.738092257,0.718952896,0.75117755,0.748192379,0.744593941,0.74771291,0.734057913,0.737636312,0.710132059,0.739054564
PaChr6g19822-t1_19822,3.704464603,3.508000894,3.807271556,3.548833221,3.493879885,3.411903475,3.5691156,3.21179758,1.988328959,2.27847783,2.395224404,2.274901036,1.960635537,2.085867875,1.98095641,1.997297932,2.296468561,2.326169149,2.342482408,2.245181521
PaChr12g07066-t1_7066,0.721550002,0.742706761,0.740130676,0.742166774,0.714170415,0.739357771,0.736614044,0.739607533,0.74201994,0.741757928,0.736928674,0.718801474,0.748605152,0.747641606,0.743579656,0.747819337,0.733014803,0.734916428,0.707896132,0.736410506
PaChr2g10859-t1_10859,0.720460724,0.741828951,0.738485705,0.741554203,0.716243721,0.739801197,0.739479588,0.742360942,0.742728059,0.74248483,0.739757955,0.720312818,0.755094612,0.753678556,0.747584251,0.751879994,0.734482812,0.732986801,0.707722748,0.736341215
PaCtg1845g35365-t1_35365,0.730424112,0.751815696,0.74782726,0.751095837,0.720022274,0.747188531,0.74145844,0.743572694,0.743474392,0.741328582,0.738989374,0.719889575,0.750932689,0.749944381,0.743135118,0.748155951,0.740398685,0.734557036,0.711286811,0.738963182
PaChr6g18949-t1_18949,0.728520981,0.748568987,0.748078611,0.748532043,0.718970935,0.745679345,0.738822195,0.744980735,0.743220996,0.741739352,0.738720331,0.719849169,0.754936546,0.753321339,0.745124301,0.752286802,0.74616134,0.738770975,0.717505235,0.746743536
PaChr2g08121-t1_8121,0.798417573,0.825807813,0.811990924,0.809722685,0.782764761,0.804394031,0.808388078,0.799522994,0.812463791,0.807688152,0.809934536,0.792030837,0.794795907,0.795389233,0.791990078,0.798289158,0.785536323,0.791473026,0.770310079,0.805626972
PaChr2g10618-t1_10618,0.721430989,0.742936638,0.739783524,0.741937172,0.712430744,0.737182,0.734973714,0.738482698,0.748764222,0.747239773,0.744852751,0.725859483,0.752640696,0.751482042,0.746182256,0.750704439,0.734861485,0.735929809,0.710004413,0.739576132
PaCtg2535g37587-t1_37587,0.760572524,0.785189741,0.779026246,0.773628375,0.736318271,0.764854585,0.758204443,0.755632349,0.771927518,0.778159185,0.773790768,0.75492431,0.758266791,0.750259932,0.7444243,0.748965934,0.739550998,0.735266486,0.712090668,0.741441069
PaChr2g09715-t1_9715,2.147691303,2.092376285,2.1783166,2.084979554,2.565195577,2.234860704,2.570959482,2.768050056,2.446139272,2.545294265,2.432597806,2.537543704,2.342792975,2.398319877,2.507955804,2.466166702,2.530491184,2.447587765,2.552693881,2.489015724
PaChr10g04658-t1_4658,0.731872184,0.753851362,0.749138277,0.751925619,0.736767709,0.758840142,0.758733513,0.763287531,0.746893342,0.748249235,0.738193663,0.723178559,0.752203404,0.749177034,0.74659319,0.74928918,0.736355975,0.734598401,0.710070449,0.739568859
PaChr2g11043-t1_11043,0.726796159,0.747227364,0.744621625,0.748403619,0.72027127,0.745678932,0.741965045,0.74549752,0.743965809,0.743227395,0.740787458,0.721363886,0.752305229,0.751505113,0.746771497,0.751320159,0.734208568,0.73400582,0.708255592,0.737136005
PaChr4g15097-t1_15097,0.736071643,0.756409409,0.754003507,0.756688901,0.720348616,0.744548292,0.742261783,0.746690295,0.76030147,0.756975771,0.757006908,0.737554515,0.793469387,0.795350127,0.777012693,0.780737484,0.771569079,0.777431525,0.754735882,0.789169761
PaChr5g17529-t1_17529,0.727887688,0.749403994,0.746739999,0.747180668,0.719379349,0.74388827,0.741804635,0.744916811,0.740091426,0.741020993,0.737867714,0.718223669,0.750730402,0.748819951,0.743362843,0.748383893,0.735149501,0.735071103,0.709636501,0.739081892
