Time0_1,Time0_2,Time0_3,Time6_1,Time6_2,Time6_3,cv1,cv2,means1,means2
5.051820273,5.06554028,5.057913283,5.01077708,5.055000671,5.199533151,0.075339864,1.584077982,5.061726782,5.088436967
5.116263792,4.998565159,5.058781226,5.443948339,5.537182392,4.754290446,0.598727186,6.6569075,5.028673193,5.245140392
5.006318873,5.110394636,5.058781226,4.647436295,4.550253806,4.304490164,0.507547611,3.206609418,5.084587931,4.500726755
5.021645449,5.09634174,5.058794175,5.451721149,5.320082064,5.496635878,0.369739664,1.381575872,5.077567957,5.42281303
5.031892176,5.109212927,5.070427762,4.560677955,4.614918617,4.591694916,0.381007205,0.484184882,5.089820344,4.589097163
5.071433086,5.074931443,5.072459267,4.700636282,5.107069765,4.951503522,0.024362674,3.403420949,5.073695355,4.919736523
5.130307342,5.015757381,5.07434633,5.441037547,5.496670459,4.739165595,0.580657555,6.596865245,5.045051856,5.225624533
5.002310745,5.146087232,5.075860917,5.171745225,5.803830197,5.081160503,0.687014984,6.005947361,5.110974074,5.352245308
5.086058452,5.070119116,5.077461968,4.681683824,4.953782879,4.17810878,0.072360615,6.978642247,5.073790542,4.604525161
5.082078641,5.076895466,5.078806798,4.522494558,4.754760603,4.944969974,0.01882029,3.644144917,5.077851132,4.740741712
5.185649183,4.960018502,5.079427822,4.937118426,4.564731384,4.071627041,1.189401453,7.834672893,5.019723162,4.524492284
5.144661001,5.02247228,5.085175181,4.820465714,4.969934766,4.235057972,0.620351091,6.783098554,5.053823731,4.675152817
4.976908469,5.191241446,5.088908104,5.233365428,5.004335972,4.881416455,0.995446043,2.893880312,5.140074775,5.039705951
5.145739904,5.033043493,5.090700227,4.878323824,4.783230355,4.820098874,0.569519892,0.810958519,5.06187186,4.827217684
5.143204873,5.052036493,5.0983197,5.192636776,5.128158615,4.679570323,0.455976183,4.563639993,5.075178097,5.000121905
5.126200001,5.074956976,5.10042889,5.246459565,5.012606263,4.772057546,0.250328726,3.865584183,5.087692933,5.010374458
5.092877327,5.117649836,5.104657991,5.147402634,5.217777854,4.864724397,0.127093067,3.005394291,5.111153914,5.076634962
5.158614587,5.048315385,5.104744356,4.910158078,4.878856046,5.158435606,0.555782913,2.510227389,5.076529871,4.982483243
5.091413214,5.122934044,5.106605469,4.983474608,5.101623654,4.760554756,0.159621801,2.85767846,5.114769756,4.948551006
5.075837168,5.140142286,5.107749912,5.167399237,5.035888481,4.932796099,0.316088164,1.902941466,5.123946099,5.045361272
5.105047318,5.111771457,5.107786807,5.220977115,5.278815158,4.971350534,0.038990441,2.58701886,5.109779132,5.157047603
5.136245559,5.090732631,5.113292682,5.169831685,5.135596905,4.517997839,0.221089719,6.062048872,5.102012656,4.941142143
5.104606636,5.124244501,5.113830527,4.93190275,5.023403955,5.083602651,0.101718082,1.244155994,5.119037514,5.012969785
5.129639925,5.100775654,5.114807653,5.318126835,5.146275295,5.022964885,0.13735877,2.34464597,5.107791653,5.162455672
5.103847199,5.127512841,5.115100596,5.169013763,5.273919471,5.045534551,0.121182405,1.807934929,5.121306719,5.162822595
5.135724495,5.097888469,5.11651522,4.623998978,4.866059683,5.154558583,0.182357696,4.442788065,5.107201845,4.881539081
