id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044468378.1,73432137.9,57449550.08,80008945.76,70714081.84,46164525.83,57512690.43
XP_044493250.1,27100507.96,20167610.93,30440769.42,27391403.75,19777508.4,27413416.46
XP_044482901.1,57751883.61,65290804.71,77828222.03,24449824.16,46686847.72,53621573.31
XP_044494087.1,437638615.1,872795580.8,523499727.9,748518982.5,681662275.0,647138020.2
XP_044499255.1,137309801.0,132793537.4,103628792.2,269471887.4,199657236.5,194965860.3
XP_044508675.1,52314016.17,45998388.42,62506331.97,32691275.28,37325483.06,30838854.2
XP_044489811.1,29079987.71,19248291.95,22490599.35,11282872.04,25093782.24,33922698.62
XP_044471185.1,133040727.0,126898317.5,100771607.7,66580450.49,77380661.64,133518632.1
XP_044471960.1,87326220.96000001,74289971.71,82194853.32,58370978.43,82235547.61,81868952.58
XP_044487544.1,43092646.76,25498258.69,40605384.46,38951535.87,44978694.61,28667557.99
XP_044503287.1,39092596.27,24942692.73,42368376.47,26806129.21,24410437.69,27694487.7
XP_044511611.1,66568247.93,74066223.3,103077152.7,61566813.31,75524857.37,113258858.79999998
XP_044480698.1,4261680.947999999,5364367.835000001,6049789.993000001,1146993.557,1831549.8369999994,880939.7567999996
XP_044462996.1,46469917.02,34456688.97,29899187.89,27647749.87,17544216.45,37533273.26
XP_044477178.1,101387744.6,110039377.0,58479843.17,50208749.7,42564793.65,74871449.69
XP_044466064.1,1185983.3430000003,6182819.264,4353879.398,2856293.2469999995,1739868.8369999994,2275732.4529999997
XP_044472368.1,47526054.86,67695626.75,53528726.42,52077722.21,55339766.06,42341572.78
XP_044475517.1,14807407.92,23685085.02,27693322.74,14050901.11,14049959.42,13440229.42
XP_044501161.1,21300639.43,12091391.07,17051374.36,21292085.56,17747428.56,29813482.83
XP_044486641.1,8792076.401,8583658.729,5555411.973999999,4793285.491999999,6145572.816,6588356.414999999
XP_044469880.1,56841530.02,27303695.88,66138113.24000001,37501376.4,56411073.59,70920263.03
XP_044473520.1,8931306.846,7588630.041000001,9217932.158,16478414.71,15495786.64,11150193.23
XP_044503806.1,25531119.82,17137213.43,24548455.87,52942470.4,33476022.88,38880400.48
XP_044483292.1,31529014.66,22471796.25,29319962.45,37171521.94,31530314.81,25202222.14
XP_044489472.1,87878802.39000002,52454882.49,65534903.03,42022244.4,43239044.76,54621462.3
XP_044492880.1,51713948.61,39200986.54,58129325.16,35638930.68,18818382.11,41887585.99
XP_044461180.1,17932592.09,1551173.3279999997,5356162.672,16300013.48,4988765.743999999,10625836.94
XP_044463891.1,31551958.88,21112169.51,21692216.48,31741590.37,19564619.13,29578962.56
XP_044483441.1,8422412.268,6081509.285,7865742.372000001,5775848.712000001,12397919.6,11000713.31
XP_044475326.1,17843938.6,33133042.8,21321040.77,14654033.63,12644079.42,38182724.2
