lineage_3,log2FC Large/Lung,log2FC Giant/Large,log2FC Small/Giant,transformed_pval,adjusted_p_values_BC2,adjusted_p_values_bh2,adjusted_p_values_by2
thyroxine,-0.03049665737344109,-0.01675584822427692,0.004773989686701104,3.4973244381585036,1.1451419200471409,2.9151723024864067,2.137344240861774
trimethylamine-N-oxide,-0.05774049092628948,0.11591018973183762,0.014182752991578472,5.598169908740568,3.2459873906292054,4.476436312007479,3.698608250382847
hexoses (HILIC pos),-0.05964666064798593,0.020816630014124184,0.012390261309339835,0.9627661493312977,-0.0,0.7952750620375341,0.017447000412901717
adenosine,-0.0366461381774448,0.07673111474721553,-0.053094635152080454,0.6433515048709484,-0.0,0.5317182350421856,-0.0
thymidine,0.03347867397108331,-0.15388810029890262,0.16062841536870945,2.457827391378089,0.10564487326672668,2.06468626558782,1.286858203963188
xanthosine,-0.026575157812710665,-0.02085598950136795,-0.004531515774932694,2.4527376968943506,0.10055517878298802,2.064343006128543,1.286514944503911
2-deoxyadenosine,0.08104408936974498,-0.035137183098995536,0.014073473024930108,1.333922814958654,-0.0,1.0923300071465405,0.3145019455219081
2-deoxycytidine,0.057339293991974724,0.04138115111254568,0.10756845243592222,8.97971175386441,6.627529235753046,6.928559231417028,6.150731169792396
cAMP,0.011608104696345815,0.017986620955594033,0.004506976904455649,2.6392024422195397,0.28701992410817706,2.2315025962583457,1.4536745346337134
cotinine,0.022416975874784233,-0.05803362122680066,0.06626632135565837,0.5471626974831849,-0.0,0.45025268447512845,-0.0
pipecolic acid,-0.039460088957982906,0.051409344974482594,0.03749659351372174,1.1192488455033915,-0.0,0.9219079141957018,0.14407985257106948
pyroglutamic acid,-0.021996725649836752,-0.05184142313851442,0.014524880863601312,1.7155387059130511,-0.0,1.427814177028607,0.6499861154039748
1-methylnicotinamide,-0.16243959445085243,0.261955399516077,-0.36732413998157387,5.354561554517193,3.0023790364058307,4.344801717228037,3.566973655603405
butyrobetaine,0.05755981773564328,-0.051387563489212654,-0.0019625403779190346,1.6299778815684438,-0.0,1.356976609504706,0.5791485478800739
putrescine,-0.003986144868917463,0.04995933713130812,0.001742155482260507,1.0836330929043416,-0.0,0.8930383529509506,0.11521029132631828
methionine sulfoxide,-0.030940598189488508,-0.006254434158078265,0.0007749286844389515,1.648146774429268,-0.0,1.371511217710436,0.5936831560858039
