id,T0_1,T0_2,T0_3,T6_1,T6_2,T6_3
XP_044503806.1,25531119.82,17137213.43,24548455.87,52942470.4,33476022.88,38880400.48
XP_044483292.1,31529014.66,22471796.25,29319962.45,37171521.94,31530314.81,25202222.14
XP_044489472.1,87878802.39,52454882.49,65534903.03,42022244.4,43239044.76,54621462.3
XP_044492880.1,51713948.61,39200986.54,58129325.16,35638930.68,18818382.11,41887585.99
XP_044461180.1,17932592.09,1551173.328,5356162.672,16300013.48,4988765.744,10625836.94
XP_044463891.1,31551958.88,21112169.51,21692216.48,31741590.37,19564619.13,29578962.56
XP_044483441.1,8422412.268,6081509.285,7865742.372,5775848.712,12397919.6,11000713.31
XP_044475326.1,17843938.6,33133042.8,21321040.77,14654033.63,12644079.42,38182724.2
XP_044505744.1,13097226.6,13129176.4,12262455.73,18982474.56,10900425.09,20133557.84
XP_044489578.1,7405125.866,2466819.102,3525467.083,1864919.923,1977063.447,5674360.464
XP_044468960.1,19598909.64,15499401.38,15101996.23,32281243.94,11800348.17,17343947.67
XP_044464666.1,41190811.42,41433390.03,26349928.76,38482236.3,28621601.11,62233533.48
XP_044504154.1,5394786.276,2792215.594,4359314.343,4371793.47,2290105.461,9747533.613
XP_044509574.1,3373772.303,12685509.4,14047324,16672589.03,4345027.148,61248600.12
XP_044505408.1,6863556.495,7144689.584,7040494.657,5764106.651,9300371.047,4977005.836
XP_044492796.1,88467110.23,76983313.11,73407060.78,59612941.43,69769977.44,71134222.06
XP_044489818.1,15837621.66,31222784,25272671.87,34058458.72,23900745.98,21223248.33
XP_044505518.1,1080214.476,421392.9188,922575.7945,118074.8077,79374.75612,770603.4847
XP_044508657.1,5880277.14,2348105.039,1879222.294,1924415.976,668586.6347,1399449.904
XP_044478226.1,10322196.99,9983459.809,9703331.865,8033916.563,7568306.408,6836414.212
XP_044461232.1,6359799.298,2724929.791,3167709.277,3797077.011,3032308.647,3942341.71
XP_044474006.1,1142831.664,4188960.432,1089102.674,658935.6665,1118980.819,1955273.707
XP_044507949.1,,,,,,
XP_044500859.1,178506984.3,133494435.4,204446238.7,247148023.4,227353915.7,222130218.8
XP_044482551.1,175576770,285778609.1,178349927,110794801.8,106365320.5,153362132.3
XP_044504849.1,74174280.6,68143542.24,60637524.64,36838501.12,52197010.68,63771375.75
XP_044465154.1,84905421.61,66666521.56,77982670.1,86305038.8,67244687.56,71416898.97
XP_044484642.1,24777802.96,18214548.63,16756799.67,50455639.83,43027494.23,38943161.88
XP_044499871.1,66680292.42,50497696.22,51090329.09,61650741.57,65895745.87,35467023.54
XP_044475840.1,96124460.79,92167034,74830313.39,91948296.7,91993676.63,82817685.41
XP_044511989.1,21807222.19,16108532.32,15398312.64,8429479.376,9750259.539,16501228.29
XP_044483609.1,80721505.45,45635003.47,57837745.64,72186991.77,26583641.86,85010521.4
XP_044461656.1,213530900.9,141656218.3,426622297.1,436890364.3,216215284.3,292810063.7
XP_044480039.1,2540831.218,3269886.387,1794002.832,2612401.873,2257261.567,10317740.83
XP_044494887.1,530639.2186,2695434.891,484451.6168,861425.41,759342.7593,776115.2787
XP_044489371.1,62668470.04,41704320.26,40660531.64,53626247.28,25793322.38,27248626.54
XP_044500547.1,92565438.7,77815013.6,95624311.2,75531770.08,72992940.22,82200685.51
XP_044506164.1,295859264.2,348003703.2,276092002,198475357.4,153767409.8,256357104.3
XP_044468843.1,58028992.81,63019265.19,65033599.14,34538097.15,59317643.99,69302698.59
XP_044506828.1,10447659.4,10317967.96,7054870.284,11812903.83,7548901.555,8110442.857
XP_044509558.1,25989769.95,37684605.94,21235581.34,35437593.37,22788405.03,33692313.56
XP_044466602.1,83282337.54,63123518.43,72119093.76,46863095.41,81179522.27,78158681.27
XP_044473388.1,1634317.764,1809657.155,952593.6785,943780.1246,2269854.5,609413.2019
XP_044463845.1,52126253.86,31371951.22,54546469.28,39743375.07,64570452.42,31545023.31
XP_044493783.1,11059814.35,14978906.29,13017872.79,4610598.642,3552066.546,8975255.165
XP_044481485.1,48649906.1,28177202.14,36802261.31,71606394.18,38387788.14,42204951.93
XP_044477078.1,64298089.86,42962705.39,59248400.44,30069631.44,29210621.6,63410701.38
XP_044509112.1,8021250.225,8648080.491,5429973.45,10401331.44,5751652.59,8956158.206
XP_044505375.1,7468814.444,9950464.383,20870660.21,14092851.56,19762961.79,16580251.44
XP_044506946.1,8101031.742,2148460.781,2030656.643,15211041.91,4363638.151,6175395.71
XP_044463695.1,1909157.975,1142916.028,2180625.564,,,
XP_044507437.1,20905497.34,12515446.84,14346774.48,40672576.69,26681548.55,33375166.56
XP_044488894.1,20548977.73,23171676.66,22352634.33,22470824.55,22202270.56,29684524.51
XP_044490172.1,68704791.52,80868226.6,103353997.6,61114871.41,85811209.62,90588889.91
XP_044498366.1,2268676.402,3041766.524,7872785.887,5239683.865,7156006.298,5239931.737
XP_044476492.1,69233.33885,34446.76728,,48901.2544,40678.32137,43691.66417
XP_044463493.1,30308002.92,31805870.54,42848482.59,36416683.93,23536719.11,31043425.28
XP_044462407.1,11384403.96,3264963.161,3772186.035,8211787.314,10211884.65,9967533.284
XP_044482065.1,9915467.063,2577543.366,8405488.825,8486117.56,10865479.95,7469207.258
XP_044473632.1,355789795.2,642412495.7,414678344,483360839.4,636433532.8,439976401.1
XP_044485773.1,264098960.5,614017888.9,282068795.1,273646362.7,380228536.5,331329149.9
XP_044493422.1,10920824.56,12418140.91,7311295.224,6232725.468,8101769.206,9102709.351
XP_044461485.1,40402461.24,39739336.4,25979584.33,36981551.89,38865921,31207126.81
XP_044506875.1,41597556.54,43303154.92,15616033.23,12669834.43,11030558.76,14696161
XP_044476237.1,77578058.39,63867607.99,74655637.41,54142283.17,83336612.17,83758642.06
XP_044463940.1,116131397.4,84026319.54,64339724.56,69668656.93,58716433.42,117016707.1
XP_044470350.1,357740524.7,199854768.6,150771617.1,110404875.3,99403944.56,185372191
XP_044504656.1,36296971.95,62172117.18,43265782.05,24290858.09,13343660.12,32362362.1
XP_044469169.1,164457736.7,170905117.2,105547132.4,51254911.92,65386778.42,88063699.41
XP_044504230.1,11079517.09,16689909.31,6539064.323,4990235.006,7437454.165,4231697.535
XP_044490570.1,159307020.6,227495498.2,165148253.4,147192199.2,219108123.3,174126861.6
XP_044474151.1,65753539.89,30813502.9,63318844.2,35982588.36,25870521.59,41121399.53
XP_044486537.1,15992469.25,4744794.507,5377031.756,3883829.003,10910311.57,4546684.935
XP_044508666.1,32812358.6,27473987.48,17793530.92,16003189.01,9521670.107,44907635.98
XP_044465264.1,97696996.72,168056200.9,68199330.2,260004565.8,98261469.72,144678802.4
XP_044477437.1,36342131.48,47711063.8,37306298.48,16898654.9,41007737.83,47440397.71
XP_044469003.1,500987.564,1794920.64,1322495.47,1223155.84,2055953.716,1557925.545
XP_044492914.1,3107081.381,3240500.618,9887472.099,6110736.918,3317618.037,3997610.552
XP_044511026.1,30664254.95,31548138.6,67626691.28,62912067.8,61164076.87,51663132.74
XP_044483796.1,26538159.82,25853917.73,28146220.28,24800412.61,26845665.93,33682183.06
XP_044493625.1,12249174.55,7070804.195,7544994.398,8459491.038,8627725.067,6986056.944
XP_044500112.1,166979840.6,148992692.2,206932716.4,183279282,222604150.7,174388331.5
XP_044468423.1,1918952.197,3830942.541,2635978.313,2250008.693,4603820.994,3029116.273
XP_044510853.1,37635157.49,35245001.55,42573804.79,36666846.2,37173717.32,33961713.85
XP_044485562.1,37246196.23,30413640.26,37669103.4,38979527.27,32643288.17,36910683.14
XP_044496301.1,9089601.3,27854137.2,34298820.52,18619806.15,48727191.6,16849269.72
XP_044490325.1,1756152.772,1101527.203,1398700.782,2708.542977,,229003.9059
XP_044506200.1,85291801.33,60582947.95,60968357.76,66455217.4,69611054.75,58423639.74
XP_044496356.1,25837951.69,18666149.49,19689375.57,28558885.54,42526482.74,20623400
XP_044478178.1,22071931.9,26892424.85,15579456.46,26733833.44,17853814.87,34715124.3
XP_044493455.1,26616402.83,36771507.49,28557849.49,23608003.12,35259593.43,25307018.74
XP_044493898.1,26613703.67,30461247.57,31298754.46,21616918.46,20994133.48,24166709.5
XP_044485120.1,39176274.78,57323392.97,22178491.43,34544022.34,36951415.36,23415486.82
XP_044478271.1,16409776.23,39805482.12,46901605.13,11426290.42,43484317.69,29270762.29
XP_044490158.1,185902822.3,215096960.5,177459934,149580965.2,205763547.2,153072861.4
XP_044494348.1,37282786.03,50020934.73,36705253.89,42046028.62,55399524.55,36971672.24
XP_044475877.1,61747572.17,77993606.83,73078169.97,55153812.76,56896661.43,82676854.67
XP_044498293.1,23325654.02,22533867.84,28774845.66,12578018.89,13051804.79,13560201.68
XP_044477270.1,15668722.35,23572595.75,23388559.81,15324124.15,21081659.92,14740873.36
XP_044491115.1,169437847.3,90862676.71,116181623.1,174301136.5,106381251.8,111172066
XP_044490955.1,120044094.8,87800685.79,126978877.2,113686032.1,123459527.7,96216911.47
XP_044487318.1,17642736.84,9188939.108,10769882.17,16805996.15,21135066.16,8214337.924
XP_044468173.1,70707391.91,110625161.7,85449323.68,33095710.94,37714182.83,38563332.46
XP_044501627.1,5486771.761,5338822.024,8574329.82,11507546.8,5826531.357,4063954.802
XP_044481860.1,27543436.41,56576341.08,47562052.4,58954624.93,26837005.62,38898056.61
XP_044477424.1,2124301.628,6713374.341,6852969.277,5870450.458,6418017.267,3738366.508
XP_044466315.1,4286973.774,2909939.687,3317996.789,3146626.359,7572742.67,10807460.47
XP_044499758.1,7800974.142,9737444.425,9257633.743,5551862.257,17543185.23,12405719.59
XP_044506363.1,59793545.15,71797071.38,67887398.56,58520822.93,71797723.12,85831930.45
XP_044503292.1,65633139.74,72075103.84,46386421.43,26366362.23,33570934.75,22747878.81
